Week,Binghamton shootings: (Worldwide),Carthage nursing home shooting: (Worldwide),Kirkwood City Council shooting: (Worldwide),Trolley Square shooting: (Worldwide),Capitol Hill massacre: (Worldwide)
12/31/05,0,0,0,0,0
1/7/06,0,0,0,0,0
1/14/06,0,0,0,0,0
1/21/06,0,0,0,0,0
1/28/06,0,0,0,0,0
2/4/06,0,0,1,0,0
2/11/06,0,0,0,0,0
2/18/06,0,0,0,0,0
2/25/06,0,0,0,1,0
3/4/06,0,0,0,0,0
3/11/06,0,0,0,0,0
3/18/06,1,0,0,0,1
3/25/06,0,0,0,0,56
4/1/06,0,0,0,0,8
4/8/06,0,0,0,0,4
4/15/06,0,0,0,0,1
4/22/06,0,0,0,0,2
4/29/06,0,0,0,0,2
5/6/06,0,0,0,0,1
5/13/06,0,0,0,0,2
5/20/06,0,0,0,0,1
5/27/06,0,0,0,0,1
6/3/06,0,0,0,0,4
6/10/06,0,0,0,0,1
6/17/06,0,0,0,0,1
6/24/06,0,1,0,0,1
7/1/06,0,0,0,0,1
7/8/06,0,0,0,0,2
7/15/06,0,0,0,0,1
7/22/06,0,0,0,0,1
7/29/06,0,0,0,1,1
8/5/06,0,0,1,0,1
8/12/06,0,0,0,0,1
8/19/06,0,0,0,0,1
8/26/06,0,0,0,0,1
9/2/06,0,0,0,0,2
9/9/06,0,0,0,0,2
9/16/06,0,0,0,0,1
9/23/06,0,0,0,1,1
9/30/06,0,0,0,0,1
10/7/06,0,0,0,0,1
10/14/06,0,0,0,0,1
10/21/06,0,0,0,0,1
10/28/06,0,0,0,0,1
11/4/06,0,1,0,0,1
11/11/06,0,1,0,0,1
11/18/06,0,1,0,0,1
11/25/06,0,1,0,0,1
12/2/06,0,0,0,0,1
12/9/06,0,0,0,0,1
12/16/06,0,0,0,0,1
12/23/06,0,0,0,0,1
12/30/06,0,0,0,0,1
1/6/07,0,0,0,0,1
1/13/07,0,0,0,0,1
1/20/07,1,0,0,0,1
1/27/07,0,0,0,0,1
2/3/07,0,0,0,0,1
2/10/07,0,0,0,100,1
2/17/07,0,0,0,16,1
2/24/07,0,0,0,6,1
3/3/07,0,0,0,3,1
3/10/07,0,0,0,2,1
3/17/07,0,0,0,1,1
3/24/07,0,0,0,2,1
3/31/07,0,1,1,1,1
4/7/07,0,0,1,1,1
4/14/07,0,0,1,2,1
4/21/07,0,0,1,1,1
4/28/07,1,0,1,1,1
