Month,Binghamton shootings: (Worldwide),Carthage nursing home shooting: (Worldwide),Kirkwood City Council shooting: (Worldwide),Trolley Square shooting: (Worldwide),Capitol Hill massacre: (Worldwide)
2003-12,0,0,0,0,0
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,1,0,0,0
2004-07,0,1,0,1,0
2004-08,1,1,0,1,0
2004-09,1,1,0,1,0
2004-10,1,1,0,1,0
2004-11,1,1,0,1,0
2004-12,1,0,0,1,0
2005-01,1,0,0,0,0
2005-02,1,0,0,0,0
2005-03,1,0,0,0,0
2005-04,1,0,0,0,1
2005-05,1,0,0,0,1
2005-06,1,0,1,0,1
2005-07,1,1,0,0,1
2005-08,1,0,0,0,1
2005-09,1,0,0,0,1
2005-10,0,0,0,0,1
2005-11,0,0,0,0,1
2005-12,0,0,0,0,9
2006-01,0,0,1,0,18
2006-02,0,0,0,0,27
2006-03,0,0,0,1,11
2006-04,0,0,0,0,2
2006-05,0,0,0,0,5
2006-06,0,0,0,0,2
2006-07,0,0,0,0,0
2006-08,0,0,0,0,1
2006-09,0,0,0,0,1
2006-10,0,0,0,0,1
2006-11,0,0,0,0,1
2006-12,0,0,0,0,0
2007-01,0,0,0,75,0
2007-02,0,0,0,5,1
2007-03,0,0,0,3,1
2007-04,0,0,0,2,0
2007-05,0,0,0,1,1
2007-06,1,0,0,0,0
2007-07,1,0,0,1,1
2007-08,1,0,0,1,0
2007-09,0,0,0,0,0
2007-10,0,0,0,1,0
2007-11,0,0,12,13,0
2007-12,0,0,25,1,1
2008-01,0,0,37,1,0
2008-02,0,0,1,1,1
2008-03,0,0,0,1,0
2008-04,0,0,0,1,0
2008-05,0,0,0,0,0
2008-06,0,0,1,0,0
2008-07,0,0,1,1,1
2008-08,0,0,0,1,0
2008-09,0,0,0,1,1
2008-10,0,0,0,1,0
2008-11,0,0,0,1,0
2008-12,0,0,0,1,0
2009-01,0,0,0,1,0
2009-02,0,16,0,0,0
2009-03,100,7,0,0,0
2009-04,2,0,0,1,0
2009-05,2,0,0,0,0
2009-06,1,0,0,0,1
2009-07,1,0,0,1,0
2009-08,1,0,0,0,0
2009-09,0,0,0,0,0
2009-10,1,0,0,1,0
2009-11,1,0,0,0,0
2009-12,1,0,0,0,0
2010-01,0,0,0,0,0
2010-02,1,0,0,0,0
2010-03,1,0,0,0,0
2010-04,0,0,0,1,0
2010-05,1,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,1
2010-09,1,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,2,0,0
2010-12,1,0,0,1,0
2011-01,0,0,0,1,0
2011-02,0,0,0,1,0
2011-03,1,0,0,0,0
2011-04,0,0,0,1,0
2011-05,0,0,0,0,0
2011-06,0,0,0,1,0
2011-07,0,0,0,0,0
2011-08,0,0,0,1,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,1,0
2012-02,0,0,0,0,0
2012-03,0,0,3,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,2,0,0,1,0
2012-07,0,0,0,1,0
2012-08,0,0,0,0,0
2012-09,1,0,0,1,0
2012-10,0,0,0,1,0
2012-11,2,1,0,3,0
2012-12,1,0,0,1,0
2013-01,0,0,0,1,0
2013-02,0,0,1,0,0
2013-03,1,0,0,1,0
2013-04,0,0,0,0,0
2013-05,0,0,1,1,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,1,0,0,1,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,1,0,0
2013-12,0,0,0,1,0
2014-01,0,0,0,0,1
2014-02,1,0,0,0,0
2014-03,1,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,1,0
2014-06,0,0,0,1,0
2014-07,0,0,0,0,0
2014-08,0,0,0,1,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,1,1,0,1,0
2015-10,0,0,0,1,0
2015-11,1,2,0,1,0
2015-12,1,0,0,1,0
2016-01,0,0,0,1,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,3,0,0,1,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
