Week,Capitol Hill massacre: (Worldwide),Goleta postal facility shootings: (Worldwide),Red Lake shootings: (Worldwide)
1/1/05,0,0,1
1/8/05,1,0,0
1/15/05,0,0,0
1/22/05,0,0,0
1/29/05,0,1,0
2/5/05,0,0,0
2/12/05,0,0,0
2/19/05,0,0,0
2/26/05,0,0,0
3/5/05,0,0,0
3/12/05,0,0,0
3/19/05,0,1,80
3/26/05,0,0,29
4/2/05,0,0,11
4/9/05,0,0,12
4/16/05,0,0,4
4/23/05,0,0,4
4/30/05,0,0,3
5/7/05,0,0,2
5/14/05,1,0,4
5/21/05,1,0,2
5/28/05,1,0,1
6/4/05,1,0,1
6/11/05,1,0,1
6/18/05,0,1,1
6/25/05,0,0,1
7/2/05,0,0,1
7/9/05,0,0,1
7/16/05,0,0,1
7/23/05,0,0,2
7/30/05,0,0,1
8/6/05,0,0,1
8/13/05,0,0,1
8/20/05,0,0,1
8/27/05,0,0,1
9/3/05,0,0,1
9/10/05,0,0,1
9/17/05,0,0,1
9/24/05,0,0,1
10/1/05,0,0,1
10/8/05,0,0,1
10/15/05,0,0,3
10/22/05,0,0,1
10/29/05,0,0,1
11/5/05,1,0,4
11/12/05,1,0,1
11/19/05,1,0,1
11/26/05,1,0,1
12/3/05,1,0,2
12/10/05,0,0,1
12/17/05,0,0,1
12/24/05,0,0,1
12/31/05,0,0,2
1/7/06,0,0,1
1/14/06,0,0,1
1/21/06,0,0,1
1/28/06,0,100,2
2/4/06,0,5,1
2/11/06,0,3,1
2/18/06,0,1,1
2/25/06,0,1,1
3/4/06,0,1,1
3/11/06,0,1,1
3/18/06,0,1,2
3/25/06,45,1,1
4/1/06,8,1,1
4/8/06,3,1,1
4/15/06,2,1,2
4/22/06,1,1,1
4/29/06,1,1,1
5/6/06,2,1,1
5/13/06,1,1,1
5/20/06,2,1,1
5/27/06,1,1,1
6/3/06,3,1,1
6/10/06,1,0,1
6/17/06,1,0,0
6/24/06,1,0,0
