Month,2011 Tucson shooting: (Worldwide),Northern Illinois University shooting: (Worldwide),Westroads Mall shooting: (Worldwide),Amish school shooting: (Worldwide),2011 Seal Beach shooting: (Worldwide)
2006-06,0,0,0,0,0
2006-07,0,0,1,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,93,0
2006-10,0,0,0,6,0
2006-11,0,0,0,4,0
2006-12,0,0,0,3,0
2007-01,0,0,8,2,0
2007-02,0,0,1,2,0
2007-03,0,0,2,6,0
2007-04,0,0,1,3,0
2007-05,0,0,0,1,0
2007-06,0,0,0,1,0
2007-07,0,0,0,1,0
2007-08,0,0,0,2,0
2007-09,0,0,0,2,0
2007-10,0,0,1,1,0
2007-11,0,1,63,1,0
2007-12,0,45,2,1,0
2008-01,0,89,2,1,0
2008-02,0,4,1,1,0
2008-03,0,2,1,1,0
2008-04,0,1,1,1,0
2008-05,1,0,1,1,0
2008-06,0,1,1,1,0
2008-07,0,0,1,1,0
2008-08,0,1,1,1,0
2008-09,0,0,1,1,0
2008-10,0,0,1,1,0
2008-11,0,1,1,1,0
2008-12,0,1,1,1,0
2009-01,0,2,1,1,0
2009-02,0,0,1,1,0
2009-03,0,1,1,1,0
2009-04,0,0,0,1,0
2009-05,0,0,0,1,0
2009-06,0,0,0,1,0
2009-07,0,0,1,1,0
2009-08,0,0,0,1,0
2009-09,0,0,0,1,0
2009-10,0,0,0,1,0
2009-11,0,0,1,0,0
2009-12,0,0,0,0,0
2010-01,0,5,0,1,0
2010-02,0,0,0,5,0
2010-03,0,1,0,3,0
2010-04,0,0,0,1,0
2010-05,0,0,0,2,0
2010-06,0,0,0,1,0
2010-07,1,0,1,1,0
2010-08,0,0,0,1,0
2010-09,0,0,0,1,0
2010-10,0,0,0,1,0
2010-11,0,0,1,1,0
2010-12,100,0,1,1,0
2011-01,10,0,0,1,0
2011-02,7,0,0,1,0
2011-03,6,1,0,1,0
2011-04,4,0,0,1,0
2011-05,5,0,0,1,0
2011-06,5,0,1,1,0
2011-07,4,0,3,1,0
2011-08,3,1,4,1,0
2011-09,3,0,3,1,26
2011-10,4,2,2,1,1
2011-11,6,0,2,1,0
2011-12,3,0,1,1,0
2012-01,1,7,1,1,0
2012-02,1,0,1,1,0
2012-03,1,0,0,1,0
2012-04,1,0,0,1,0
2012-05,1,0,1,1,0
2012-06,3,0,1,1,0
2012-07,2,0,1,1,0
2012-08,2,0,0,1,0
2012-09,1,0,1,1,0
2012-10,1,0,1,0,0
2012-11,3,1,13,6,0
2012-12,3,0,1,1,0
2013-01,1,0,1,1,0
2013-02,1,0,0,1,0
