Week,2012 Oak Creek shooting: (Worldwide),Marysville Pilchuck High School shooting: (Worldwide),2013 Santa Monica shooting: (Worldwide),2011 Seal Beach shooting: (Worldwide)
8/27/11,0,0,0,0
9/3/11,0,0,0,0
9/10/11,0,0,0,0
9/17/11,0,0,0,0
9/24/11,0,0,0,0
10/1/11,0,0,0,11
10/8/11,0,0,0,21
10/15/11,0,0,0,3
10/22/11,0,0,0,1
10/29/11,0,0,0,0
11/5/11,0,0,0,0
11/12/11,0,0,0,0
11/19/11,0,0,0,0
11/26/11,0,0,0,0
12/3/11,0,0,0,0
12/10/11,0,0,0,0
12/17/11,0,0,0,0
12/24/11,0,0,0,0
12/31/11,0,0,0,0
1/7/12,0,0,0,0
1/14/12,0,0,0,0
1/21/12,0,0,0,0
1/28/12,0,0,0,0
2/4/12,0,0,0,0
2/11/12,0,0,0,0
2/18/12,0,0,0,0
2/25/12,0,2,0,0
3/3/12,0,0,0,0
3/10/12,0,0,0,0
3/17/12,0,0,0,0
3/24/12,0,0,0,0
3/31/12,0,0,0,0
4/7/12,0,0,0,0
4/14/12,0,0,0,0
4/21/12,0,0,0,0
4/28/12,0,0,0,0
5/5/12,0,0,0,0
5/12/12,0,0,0,0
5/19/12,0,0,0,0
5/26/12,0,0,0,0
6/2/12,0,0,0,0
6/9/12,0,0,0,0
6/16/12,0,0,0,0
6/23/12,0,0,0,0
6/30/12,0,0,0,0
7/7/12,0,0,0,0
7/14/12,0,0,0,0
7/21/12,0,0,0,0
7/28/12,0,0,0,0
8/4/12,100,0,0,0
8/11/12,5,0,0,0
8/18/12,2,0,0,0
8/25/12,1,0,0,0
9/1/12,1,0,0,0
9/8/12,1,0,0,0
9/15/12,1,0,0,0
9/22/12,0,0,0,0
9/29/12,0,0,0,0
10/6/12,0,0,0,0
10/13/12,0,0,0,0
10/20/12,4,0,0,0
10/27/12,0,0,0,0
11/3/12,0,0,0,0
11/10/12,0,0,0,0
11/17/12,0,0,0,0
11/24/12,0,0,0,0
12/1/12,0,0,0,0
12/8/12,1,0,0,0
12/15/12,3,0,0,0
12/22/12,1,0,0,0
12/29/12,0,0,0,0
1/5/13,0,1,0,0
1/12/13,0,0,0,0
1/19/13,0,0,0,0
1/26/13,0,0,0,0
2/2/13,0,0,0,0
2/9/13,0,0,0,0
2/16/13,0,0,0,0
2/23/13,0,0,0,0
3/2/13,0,0,0,0
3/9/13,0,0,0,0
3/16/13,0,0,0,0
3/23/13,0,0,0,0
3/30/13,0,0,0,0
4/6/13,0,0,0,0
4/13/13,1,0,0,0
4/20/13,0,0,0,0
4/27/13,0,0,0,0
5/4/13,0,0,0,0
5/11/13,0,0,0,0
5/18/13,0,0,0,0
5/25/13,0,0,0,0
6/1/13,0,0,18,0
6/8/13,0,0,22,0
6/15/13,0,0,1,0
6/22/13,0,0,0,0
6/29/13,0,0,1,0
7/6/13,0,0,0,0
7/13/13,0,0,0,0
7/20/13,0,0,0,0
7/27/13,0,0,0,0
8/3/13,0,0,0,0
8/10/13,0,0,0,0
8/17/13,0,0,0,0
8/24/13,0,0,0,0
8/31/13,0,0,0,0
9/7/13,0,0,0,0
9/14/13,0,0,0,0
9/21/13,0,0,0,0
9/28/13,0,0,0,0
10/5/13,0,0,0,0
10/12/13,0,0,0,0
10/19/13,0,0,0,0
10/26/13,0,0,0,0
11/2/13,0,0,0,0
11/9/13,0,0,0,0
11/16/13,0,0,0,0
11/23/13,0,0,0,0
11/30/13,0,0,0,0
12/7/13,0,1,0,0
12/14/13,0,0,0,0
12/21/13,0,0,0,0
12/28/13,0,0,0,0
1/4/14,0,0,0,0
1/11/14,0,0,0,0
1/18/14,0,0,0,0
1/25/14,0,0,0,0
2/1/14,0,0,0,0
2/8/14,0,0,0,0
2/15/14,0,0,0,0
2/22/14,0,0,0,0
3/1/14,0,0,0,0
3/8/14,0,0,0,0
3/15/14,0,0,0,0
3/22/14,0,0,0,0
3/29/14,0,0,0,0
4/5/14,0,0,0,0
4/12/14,0,0,0,0
4/19/14,0,0,0,0
4/26/14,0,0,0,0
5/3/14,0,0,0,0
5/10/14,0,0,0,0
5/17/14,0,0,0,0
5/24/14,0,0,1,0
5/31/14,0,0,0,0
6/7/14,0,0,0,0
6/14/14,0,0,0,0
6/21/14,0,0,0,0
6/28/14,0,0,0,0
7/5/14,0,0,0,0
7/12/14,0,0,0,0
7/19/14,0,0,0,0
7/26/14,0,0,0,0
8/2/14,0,0,0,0
8/9/14,0,0,0,0
8/16/14,0,0,0,0
8/23/14,0,0,0,0
8/30/14,0,0,0,0
9/6/14,0,0,0,0
9/13/14,0,0,0,0
9/20/14,0,0,0,0
9/27/14,0,0,0,0
10/4/14,0,0,0,0
10/11/14,0,0,0,0
10/18/14,0,30,0,0
10/25/14,0,26,0,0
11/1/14,0,5,0,0
11/8/14,0,3,0,0
11/15/14,0,1,0,0
11/22/14,0,1,0,0
11/29/14,0,1,0,0
12/6/14,0,1,0,0
12/13/14,0,0,0,0
12/20/14,0,0,0,0
12/27/14,0,0,0,0
1/3/15,0,0,0,0
1/10/15,0,0,0,0
1/17/15,0,0,0,0
1/24/15,0,0,0,0
1/31/15,0,0,0,0
2/7/15,0,0,0,0
2/14/15,0,0,0,0
2/21/15,0,0,0,0
2/28/15,0,0,0,0
3/7/15,1,0,0,0
3/14/15,0,0,0,0
3/21/15,0,0,0,0
3/28/15,0,0,0,0
4/4/15,0,0,0,0
4/11/15,0,0,0,0
4/18/15,0,0,0,0
