Week,Binghamton shootings: (Worldwide),2011 Seal Beach shooting: (Worldwide)
8/2/08,0,0
8/9/08,0,0
8/16/08,0,0
8/23/08,0,0
8/30/08,0,0
9/6/08,0,0
9/13/08,0,0
9/20/08,0,0
9/27/08,0,0
10/4/08,0,0
10/11/08,0,0
10/18/08,0,0
10/25/08,0,0
11/1/08,0,0
11/8/08,0,0
11/15/08,0,0
11/22/08,0,0
11/29/08,0,0
12/6/08,0,0
12/13/08,0,0
12/20/08,0,0
12/27/08,0,0
1/3/09,0,0
1/10/09,0,0
1/17/09,0,0
1/24/09,0,0
1/31/09,0,0
2/7/09,0,0
2/14/09,0,0
2/21/09,0,0
2/28/09,0,0
3/7/09,0,0
3/14/09,0,0
3/21/09,0,0
3/28/09,43,0
4/4/09,34,0
4/11/09,2,0
4/18/09,1,0
4/25/09,1,0
5/2/09,1,0
5/9/09,0,0
5/16/09,0,0
5/23/09,0,0
5/30/09,0,0
6/6/09,0,0
6/13/09,0,0
6/20/09,0,0
6/27/09,0,0
7/4/09,0,0
7/11/09,0,0
7/18/09,0,0
7/25/09,0,0
8/1/09,0,0
8/8/09,0,0
8/15/09,0,0
8/22/09,0,0
8/29/09,0,0
9/5/09,0,0
9/12/09,0,0
9/19/09,0,0
9/26/09,0,0
10/3/09,0,0
10/10/09,0,0
10/17/09,0,0
10/24/09,0,0
10/31/09,0,0
11/7/09,0,0
11/14/09,0,0
11/21/09,0,0
11/28/09,0,0
12/5/09,0,0
12/12/09,0,0
12/19/09,0,0
12/26/09,0,0
1/2/10,0,0
1/9/10,0,0
1/16/10,0,0
1/23/10,0,0
1/30/10,0,0
2/6/10,0,0
2/13/10,0,0
2/20/10,0,0
2/27/10,0,0
3/6/10,0,0
3/13/10,0,0
3/20/10,0,0
3/27/10,0,0
4/3/10,0,0
4/10/10,0,0
4/17/10,0,0
4/24/10,0,0
5/1/10,0,0
5/8/10,0,0
5/15/10,0,0
5/22/10,0,0
5/29/10,0,0
6/5/10,0,0
6/12/10,0,0
6/19/10,0,0
6/26/10,0,0
7/3/10,0,0
7/10/10,0,0
7/17/10,0,0
7/24/10,0,0
7/31/10,0,0
8/7/10,0,0
8/14/10,0,0
8/21/10,0,0
8/28/10,0,0
9/4/10,0,0
9/11/10,0,0
9/18/10,0,0
9/25/10,0,0
10/2/10,0,0
10/9/10,0,0
10/16/10,0,0
10/23/10,0,0
10/30/10,0,0
11/6/10,0,0
11/13/10,0,0
11/20/10,0,0
11/27/10,0,0
12/4/10,0,0
12/11/10,0,0
12/18/10,0,0
12/25/10,0,0
1/1/11,0,0
1/8/11,0,0
1/15/11,0,0
1/22/11,0,0
1/29/11,0,0
2/5/11,0,0
2/12/11,0,0
2/19/11,0,0
2/26/11,0,0
3/5/11,0,0
3/12/11,0,0
3/19/11,0,0
3/26/11,0,0
4/2/11,0,0
4/9/11,0,0
4/16/11,0,0
4/23/11,0,0
4/30/11,0,0
5/7/11,0,0
5/14/11,0,0
5/21/11,0,0
5/28/11,0,0
6/4/11,0,0
6/11/11,0,0
6/18/11,0,0
6/25/11,0,0
7/2/11,0,0
7/9/11,0,0
7/16/11,0,0
7/23/11,0,0
7/30/11,0,0
8/6/11,0,0
8/13/11,0,0
8/20/11,0,0
8/27/11,0,0
9/3/11,0,0
9/10/11,0,20
9/17/11,0,40
9/24/11,0,60
10/1/11,0,80
10/8/11,0,100
10/15/11,0,15
10/22/11,0,3
10/29/11,0,2
11/5/11,0,1
11/12/11,0,1
11/19/11,0,1
11/26/11,0,1
12/3/11,0,0
12/10/11,0,0
12/17/11,0,0
12/24/11,0,0
12/31/11,0,0
1/7/12,0,0
1/14/12,0,0
1/21/12,0,0
1/28/12,0,0
2/4/12,0,0
2/11/12,0,0
2/18/12,0,0
2/25/12,0,0
3/3/12,0,0
3/10/12,0,0
3/17/12,0,0
3/24/12,0,0
3/31/12,0,0
4/7/12,0,0
4/14/12,0,0
4/21/12,0,0
4/28/12,0,0
5/5/12,0,0
5/12/12,0,0
5/19/12,0,0
5/26/12,0,0
6/2/12,0,0
6/9/12,0,0
6/16/12,0,0
6/23/12,0,0
6/30/12,0,0
7/7/12,0,0
7/14/12,1,0
7/21/12,0,0
7/28/12,0,0
8/4/12,0,0
8/11/12,0,0
8/18/12,0,0
8/25/12,0,0
9/1/12,0,0
9/8/12,0,0
9/15/12,0,0
9/22/12,0,0
9/29/12,0,0
10/6/12,0,1
10/13/12,0,1
10/20/12,0,0
10/27/12,0,0
11/3/12,0,0
11/10/12,0,0
11/17/12,0,0
11/24/12,0,0
12/1/12,0,1
12/8/12,0,0
12/15/12,1,0
12/22/12,0,0
12/29/12,0,0
