Week,2009 Fort Hood shooting: (Worldwide),2012 Oak Creek shooting: (Worldwide)
1/3/09,0,0
1/10/09,0,0
1/17/09,0,0
1/24/09,0,0
1/31/09,0,0
2/7/09,0,0
2/14/09,0,0
2/21/09,0,0
2/28/09,0,0
3/7/09,0,0
3/14/09,0,0
3/21/09,0,0
3/28/09,0,0
4/4/09,0,0
4/11/09,0,0
4/18/09,0,0
4/25/09,0,0
5/2/09,0,0
5/9/09,0,0
5/16/09,0,0
5/23/09,0,0
5/30/09,0,0
6/6/09,0,0
6/13/09,0,0
6/20/09,0,0
6/27/09,0,0
7/4/09,0,0
7/11/09,0,0
7/18/09,0,0
7/25/09,0,0
8/1/09,0,0
8/8/09,0,0
8/15/09,0,0
8/22/09,0,0
8/29/09,0,0
9/5/09,0,0
9/12/09,0,0
9/19/09,0,0
9/26/09,0,0
10/3/09,0,0
10/10/09,0,0
10/17/09,0,0
10/24/09,47,0
10/31/09,94,0
11/7/09,26,0
11/14/09,6,0
11/21/09,2,0
11/28/09,2,0
12/5/09,1,0
12/12/09,1,0
12/19/09,1,0
12/26/09,1,0
1/2/10,1,0
1/9/10,1,0
1/16/10,1,0
1/23/10,1,0
1/30/10,1,0
2/6/10,0,0
2/13/10,1,0
2/20/10,0,0
2/27/10,1,0
3/6/10,0,0
3/13/10,0,0
3/20/10,0,0
3/27/10,0,0
4/3/10,0,0
4/10/10,0,0
4/17/10,1,0
4/24/10,0,0
5/1/10,1,0
5/8/10,0,0
5/15/10,0,0
5/22/10,0,0
5/29/10,1,0
6/5/10,0,0
6/12/10,0,0
6/19/10,0,0
6/26/10,0,0
7/3/10,0,0
7/10/10,0,0
7/17/10,0,0
7/24/10,0,0
7/31/10,0,0
8/7/10,0,0
8/14/10,0,0
8/21/10,0,0
8/28/10,0,0
9/4/10,0,0
9/11/10,0,0
9/18/10,0,0
9/25/10,0,0
10/2/10,0,0
10/9/10,1,0
10/16/10,1,0
10/23/10,0,0
10/30/10,1,0
11/6/10,0,0
11/13/10,0,0
11/20/10,0,0
11/27/10,0,0
12/4/10,0,0
12/11/10,0,0
12/18/10,0,0
12/25/10,0,0
1/1/11,0,0
1/8/11,2,0
1/15/11,0,0
1/22/11,0,0
1/29/11,0,0
2/5/11,0,0
2/12/11,0,0
2/19/11,1,0
2/26/11,0,0
3/5/11,0,0
3/12/11,0,0
3/19/11,0,0
3/26/11,0,0
4/2/11,0,0
4/9/11,0,0
4/16/11,0,0
4/23/11,0,0
4/30/11,0,0
5/7/11,0,0
5/14/11,0,0
5/21/11,0,0
5/28/11,0,0
6/4/11,0,0
6/11/11,0,0
6/18/11,0,0
6/25/11,0,0
7/2/11,1,0
7/9/11,0,0
7/16/11,0,0
7/23/11,1,0
7/30/11,0,0
8/6/11,0,0
8/13/11,0,0
8/20/11,0,0
8/27/11,0,0
9/3/11,0,0
9/10/11,0,0
9/17/11,0,0
9/24/11,0,0
10/1/11,0,0
10/8/11,0,0
10/15/11,0,0
10/22/11,0,0
10/29/11,0,0
11/5/11,0,0
11/12/11,0,0
11/19/11,0,0
11/26/11,0,0
12/3/11,1,0
12/10/11,0,0
12/17/11,0,0
12/24/11,0,0
12/31/11,0,0
1/7/12,0,0
1/14/12,0,0
1/21/12,0,0
1/28/12,0,0
2/4/12,0,0
2/11/12,0,0
2/18/12,0,0
2/25/12,0,0
3/3/12,0,0
3/10/12,0,0
3/17/12,0,0
3/24/12,0,0
3/31/12,0,0
4/7/12,0,0
4/14/12,0,0
4/21/12,0,0
4/28/12,0,0
5/5/12,0,0
5/12/12,0,0
5/19/12,0,0
5/26/12,0,0
6/2/12,0,0
6/9/12,0,0
6/16/12,0,0
6/23/12,0,0
6/30/12,0,0
7/7/12,0,0
7/14/12,1,0
7/21/12,2,0
7/28/12,0,0
8/4/12,1,100
8/11/12,0,5
8/18/12,0,2
8/25/12,0,1
9/1/12,0,1
9/8/12,0,1
9/15/12,0,1
9/22/12,0,0
9/29/12,0,0
10/6/12,0,0
10/13/12,1,0
10/20/12,1,4
10/27/12,0,0
11/3/12,1,0
11/10/12,0,0
11/17/12,0,0
11/24/12,0,0
12/1/12,0,0
12/8/12,1,2
12/15/12,2,3
12/22/12,1,1
12/29/12,0,0
1/5/13,0,0
1/12/13,0,0
1/19/13,0,0
1/26/13,0,0
2/2/13,0,0
2/9/13,1,0
2/16/13,0,0
2/23/13,0,0
3/2/13,0,0
3/9/13,0,0
3/16/13,0,0
3/23/13,0,0
3/30/13,0,0
4/6/13,0,0
4/13/13,1,1
4/20/13,1,0
4/27/13,0,0
5/4/13,0,0
5/11/13,0,0
5/18/13,1,0
5/25/13,0,0
6/1/13,1,0
6/8/13,0,0
6/15/13,0,0
6/22/13,0,0
6/29/13,0,0
7/6/13,0,0
7/13/13,0,0
7/20/13,0,0
7/27/13,0,0
8/3/13,2,0
8/10/13,1,0
8/17/13,1,0
8/24/13,2,0
8/31/13,1,0
9/7/13,0,0
9/14/13,1,0
9/21/13,1,0
9/28/13,0,0
10/5/13,0,0
10/12/13,0,0
10/19/13,0,0
10/26/13,0,0
11/2/13,0,0
11/9/13,0,0
11/16/13,0,0
11/23/13,0,0
11/30/13,0,0
12/7/13,0,0
12/14/13,0,0
12/21/13,0,0
12/28/13,0,0
